,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
16,Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,64.13023043793149,2885.860369706917
17,Male,0,No,No,5,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,42.12170616690629,252.73023700143776
18,Male,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),37.82483605402007,302.59868843216054
19,Male,1,No,Yes,10,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,41.708815497100076,458.7969704681008
20,Male,1,Yes,No,59,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),20.992119590088734,1259.527175405324
21,Female,0,Yes,Yes,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,112.66043694610151,4168.436167005756
22,Female,1,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),95.6381137879359,2773.505299850141
23,Male,0,Yes,Yes,42,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,113.66681859018077,4887.673199377773
24,Male,0,No,No,45,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,36.48594659574596,1678.353543404314
25,Female,1,Yes,No,19,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),51.174488033592226,1023.4897606718446
26,Female,1,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),98.64808322642784,5129.700327774248
27,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,79.25038273442382,1426.5068892196289
28,Female,0,Yes,Yes,46,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,33.907995431831125,1593.675785296063
29,Female,0,No,Yes,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,75.46567120863628,3018.6268483454514
30,Female,1,Yes,Yes,40,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,110.42319191707574,4527.350868600105
31,Female,0,No,No,25,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,44.29692472596624,1151.7200428751223
32,Female,0,No,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),47.05852609916742,47.05852609916742
33,Female,1,Yes,No,68,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,No,Mailed check,67.64408534592545,4667.441888868856
34,Female,1,No,No,19,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,68.33284908213852,1366.6569816427705
35,Male,1,No,Yes,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),36.30704330369859,1524.8958187553408
36,Female,0,No,Yes,30,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,101.5710230200695,3148.701713622155
37,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,28.79889455921169,86.39668367763507
38,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),87.50559869589688,3237.7071517481845
39,Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,75.01412493767918,3375.6356221955634
40,Female,1,Yes,No,19,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.64858054369158,852.9716108738317
41,Male,1,Yes,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),41.40056660917843,248.4033996550706
42,Female,0,No,Yes,66,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,20.16671985815492,1351.1702304963796
43,Male,0,No,Yes,0,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,113.82731903796645,113.82731903796645
44,Female,0,Yes,No,55,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.66969659504482,2837.50300932251
45,Male,1,No,No,47,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),31.159826701228827,1495.6716816589837
46,Male,0,Yes,Yes,47,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,58.4093104304342,2803.6469006608418
47,Male,1,No,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),47.901735827938516,479.0173582793852
48,Male,0,Yes,Yes,64,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,52.23854489124084,3395.505417930655
49,Female,1,Yes,Yes,62,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,90.53724634997904,5703.84652004868
